Geography,Fiscal year,Deaths for Heart Failure,Deaths for Ischemic Heart Disease,Deaths for Myocardial Infarction
Canada,2015-2016,101185.0,159230.0,63975.0
Canada,2016-2017,101655.0,163110.0,66135.0
Canada,2017-2018,106765.0,163290.0,66565.0
Canada,2018-2019,109105.0,162255.0,67235.0
Canada,2019-2020,111030.0,166545.0,65210.0
Canada,2020-2021*,105555.0,157395.0,62875.0
Canada,2021-2022*,114070.0,164945.0,63810.0
Canada,2022-2023*,122025.0,165165.0,62315.0
Newfoundland and Labrador,2015-2016,1425.0,2465.0,1380.0
Newfoundland and Labrador,2016-2017,1435.0,2615.0,1380.0
Newfoundland and Labrador,2017-2018,1485.0,2415.0,1385.0
Newfoundland and Labrador,2018-2019,1455.0,2745.0,1375.0
Newfoundland and Labrador,2019-2020,1380.0,2565.0,1275.0
Newfoundland and Labrador,2020-2021*,1470.0,2310.0,1260.0
Newfoundland and Labrador,2021-2022*,1390.0,2440.0,1300.0
Newfoundland and Labrador,2022-2023*,1395.0,2200.0,1320.0
Prince Edward Island,2015-2016,415.0,555.0,325.0
Prince Edward Island,2016-2017,445.0,555.0,345.0
Prince Edward Island,2017-2018,440.0,560.0,340.0
Prince Edward Island,2018-2019,460.0,575.0,370.0
Prince Edward Island,2019-2020,475.0,555.0,300.0
Prince Edward Island,2020-2021*,425.0,570.0,315.0
Prince Edward Island,2021-2022*,415.0,630.0,345.0
Prince Edward Island,2022-2023*,490.0,605.0,335.0
Nova Scotia,2015-2016,2660.0,4295.0,2360.0
Nova Scotia,2016-2017,2685.0,4140.0,2380.0
Nova Scotia,2017-2018,2775.0,3930.0,2270.0
Nova Scotia,2018-2019,2805.0,3750.0,2310.0
Nova Scotia,2019-2020,3000.0,3800.0,2295.0
Nova Scotia,2020-2021*,3000.0,3715.0,2415.0
Nova Scotia,2021-2022*,3150.0,3700.0,2420.0
Nova Scotia,2022-2023*,3470.0,3580.0,2295.0
New Brunswick,2015-2016,2330.0,4450.0,1895.0
New Brunswick,2016-2017,2360.0,4505.0,1960.0
New Brunswick,2017-2018,2455.0,4260.0,1995.0
New Brunswick,2018-2019,2480.0,4145.0,1995.0
New Brunswick,2019-2020,2355.0,4060.0,1980.0
New Brunswick,2020-2021*,2335.0,3590.0,1880.0
New Brunswick,2021-2022*,0.0,0.0,0.0
New Brunswick,2022-2023*,0.0,0.0,0.0
Quebec,2015-2016,23100.0,37665.0,18465.0
Quebec,2016-2017,23620.0,40550.0,19490.0
Quebec,2017-2018,24050.0,39755.0,20620.0
Quebec,2018-2019,24585.0,37545.0,20910.0
Quebec,2019-2020,24720.0,38330.0,19125.0
Quebec,2020-2021*,22720.0,37745.0,19150.0
Quebec,2021-2022*,26865.0,40565.0,21360.0
Quebec,2022-2023*,28550.0,39565.0,21920.0
Ontario,2015-2016,37785.0,58360.0,22455.0
Ontario,2016-2017,37800.0,58700.0,23150.0
Ontario,2017-2018,40685.0,59600.0,22480.0
Ontario,2018-2019,41365.0,58530.0,22515.0
Ontario,2019-2020,42015.0,59740.0,22195.0
Ontario,2020-2021*,39760.0,53720.0,20575.0
Ontario,2021-2022*,43250.0,57150.0,21175.0
Ontario,2022-2023*,46530.0,58140.0,20140.0
Manitoba,2015-2016,4020.0,5195.0,2195.0
Manitoba,2016-2017,3700.0,4665.0,2200.0
Manitoba,2017-2018,3970.0,4460.0,2215.0
Manitoba,2018-2019,3865.0,4315.0,2180.0
Manitoba,2019-2020,4100.0,4380.0,2200.0
Manitoba,2020-2021*,4175.0,4370.0,2025.0
Manitoba,2021-2022*,4425.0,4715.0,2105.0
Manitoba,2022-2023*,4755.0,4670.0,1935.0
Saskatchewan,2015-2016,3380.0,4585.0,1820.0
Saskatchewan,2016-2017,3250.0,4545.0,1775.0
Saskatchewan,2017-2018,3255.0,4550.0,1705.0
Saskatchewan,2018-2019,3220.0,4160.0,1790.0
Saskatchewan,2019-2020,3200.0,4065.0,1800.0
Saskatchewan,2020-2021*,2840.0,3720.0,1770.0
Saskatchewan,2021-2022*,3120.0,3920.0,1720.0
Saskatchewan,2022-2023*,3260.0,4035.0,1595.0
Alberta,2015-2016,10035.0,18490.0,5555.0
Alberta,2016-2017,10105.0,18585.0,5695.0
Alberta,2017-2018,10530.0,19125.0,5750.0
Alberta,2018-2019,11040.0,19705.0,5835.0
Alberta,2019-2020,11780.0,20810.0,5995.0
Alberta,2020-2021*,10755.0,19015.0,5655.0
Alberta,2021-2022*,11820.0,21995.0,5525.0
Alberta,2022-2023*,13920.0,22240.0,5120.0
British Columbia,2015-2016,15795.0,22845.0,7365.0
British Columbia,2016-2017,16020.0,23895.0,7595.0
British Columbia,2017-2018,16885.0,24315.0,7645.0
British Columbia,2018-2019,17540.0,26450.0,7810.0
British Columbia,2019-2020,17745.0,27895.0,7885.0
British Columbia,2020-2021*,17815.0,28340.0,7695.0
British Columbia,2021-2022*,19360.0,29520.0,7705.0
British Columbia,2022-2023*,19465.0,29935.0,7500.0
Yukon Territory,2015-2016,105.0,130.0,65.0
Yukon Territory,2016-2017,120.0,140.0,70.0
Yukon Territory,2017-2018,85.0,105.0,55.0
Yukon Territory,2018-2019,140.0,130.0,65.0
Yukon Territory,2019-2020,125.0,155.0,75.0
Yukon Territory,2020-2021*,135.0,125.0,65.0
Yukon Territory,2021-2022*,135.0,105.0,65.0
Yukon Territory,2022-2023*,125.0,125.0,75.0
Northwest Territories,2015-2016,65.0,140.0,70.0
Northwest Territories,2016-2017,65.0,145.0,65.0
Northwest Territories,2017-2018,90.0,140.0,65.0
Northwest Territories,2018-2019,95.0,145.0,60.0
Northwest Territories,2019-2020,85.0,130.0,50.0
Northwest Territories,2020-2021*,70.0,115.0,50.0
Northwest Territories,2021-2022*,85.0,125.0,50.0
Northwest Territories,2022-2023*,0.0,0.0,45.0
Nunavut,2015-2016,60.0,65.0,25.0
Nunavut,2016-2017,50.0,60.0,25.0
Nunavut,2017-2018,55.0,70.0,25.0
Nunavut,2018-2019,60.0,65.0,30.0
Nunavut,2019-2020,55.0,70.0,25.0
Nunavut,2020-2021*,45.0,50.0,20.0
Nunavut,2021-2022*,60.0,80.0,40.0
Nunavut,2022-2023*,65.0,70.0,35.0
